南投縣,竹山鎮,秀林里,18,189,265,4,666
南投縣,竹山鎮,大鞍里,4,139,135,3,417
南投縣,竹山鎮,延和里,147,1354,1862,47,4709
南投縣,竹山鎮,延祥里,101,1011,1391,22,3489
南投縣,竹山鎮,延正里,42,461,641,18,1654
南投縣,竹山鎮,延平里,84,737,1135,29,2750
南投縣,竹山鎮,延山里,18,249,327,11,836
南投縣,竹山鎮,山崇里,49,503,684,12,1786
南投縣,竹山鎮,社寮里,41,357,567,10,1304
南投縣,竹山鎮,中央里,29,311,484,10,1171
南投縣,竹山鎮,富州里,23,174,234,7,599
南投縣,竹山鎮,田子里,10,177,212,6,597
南投縣,竹山鎮,硘磘里,40,459,704,17,1634
南投縣,竹山鎮,德興里,22,278,331,11,860
南投縣,竹山鎮,福興里,15,229,165,9,573
南投縣,竹山鎮,鯉魚里,14,196,267,5,763
南投縣,竹山鎮,坪頂里,7,141,163,2,425
南投縣,竹山鎮,瑞竹里,9,137,219,5,550
南投縣,竹山鎮,桶頭里,6,252,293,9,850
南投縣,集集鎮,集集里,45,376,357,19,1036
南投縣,集集鎮,和平里,26,289,327,3,878
南投縣,集集鎮,林尾里,20,166,227,5,566
南投縣,集集鎮,田寮里,45,322,459,12,1148
南投縣,集集鎮,隘寮里,12,129,176,8,469
南投縣,集集鎮,玉映里,22,140,193,6,482
南投縣,集集鎮,吳厝里,19,316,291,7,876
南投縣,集集鎮,八張里,45,468,488,15,1384
南投縣,集集鎮,永昌里,26,285,383,7,943
南投縣,集集鎮,廣明里,22,290,287,12,881
南投縣,集集鎮,富山里,19,194,177,4,557
南投縣,名間鄉,南雅村,33,309,426,7,1017
南投縣,名間鄉,中正村,75,953,1395,38,3283
南投縣,名間鄉,中山村,71,617,828,11,2166
南投縣,名間鄉,濁水村,37,407,623,16,1522
南投縣,名間鄉,新民村,26,247,416,5,941
南投縣,名間鄉,炭寮村,19,267,439,10,984
南投縣,名間鄉,新街村,146,1034,1799,30,4068
南投縣,名間鄉,東湖村,52,400,693,14,1602
南投縣,名間鄉,仁和村,24,285,284,5,873
南投縣,名間鄉,萬丹村,31,198,422,11,916
南投縣,名間鄉,田仔村,39,276,569,8,1223
南投縣,名間鄉,大坑村,24,149,337,8,732
南投縣,名間鄉,大庄村,51,345,894,12,1794
南投縣,名間鄉,廍下村,27,220,382,2,894
南投縣,名間鄉,赤水村,30,280,499,8,1133
南投縣,名間鄉,竹圍村,24,201,451,10,912
南投縣,名間鄉,三崙村,53,375,682,19,1497
南投縣,名間鄉,松山村,55,351,666,15,1446
南投縣,名間鄉,松柏村,32,231,565,10,1141
南投縣,名間鄉,崁腳村,25,268,345,12,864
南投縣,名間鄉,埔中村,32,231,377,7,851
南投縣,名間鄉,新厝村,18,234,290,10,755
南投縣,名間鄉,新光村,49,428,764,22,1702
南投縣,鹿谷鄉,鹿谷村,38,578,657,10,1811
南投縣,鹿谷鄉,彰雅村,35,472,451,12,1280
南投縣,鹿谷鄉,廣興村,55,722,632,17,1910
南投縣,鹿谷鄉,永隆村,47,473,658,9,1596
南投縣,鹿谷鄉,鳳凰村,34,359,560,22,1331
南投縣,鹿谷鄉,內湖村,41,351,350,11,1029
南投縣,鹿谷鄉,和雅村,15,267,166,6,612
南投縣,鹿谷鄉,竹林村,40,536,488,7,1474
南投縣,鹿谷鄉,竹豐村,26,358,257,9,896
南投縣,鹿谷鄉,初鄉村,20,485,469,10,1420
南投縣,鹿谷鄉,秀峰村,23,197,283,5,769
南投縣,鹿谷鄉,清水村,14,198,274,6,700
南投縣,鹿谷鄉,瑞田村,26,183,254,7,714
南投縣,中寮鄉,廣興村,15,175,361,7,774
南投縣,中寮鄉,崁頂村,16,116,172,8,460
南投縣,中寮鄉,八仙村,21,233,281,6,751
南投縣,中寮鄉,福盛村,17,227,253,3,688
南投縣,中寮鄉,和興村,9,211,202,4,627
南投縣,中寮鄉,復興村,13,86,108,3,287
南投縣,中寮鄉,永平村,40,532,596,14,1631
南投縣,中寮鄉,中寮村,18,217,208,9,631
南投縣,中寮鄉,廣福村,16,112,202,2,466
南投縣,中寮鄉,永福村,50,391,463,13,1280
南投縣,中寮鄉,義和村,39,295,458,8,1047
南投縣,中寮鄉,清水村,34,260,307,2,856
南投縣,中寮鄉,內城村,17,141,139,2,444
南投縣,中寮鄉,龍安村,20,147,300,7,666
南投縣,中寮鄉,爽文村,24,145,179,2,473
南投縣,中寮鄉,龍岩村,18,192,256,5,622
南投縣,中寮鄉,永芳村,15,134,176,3,444
南投縣,中寮鄉,永和村,14,146,188,6,503
南投縣,魚池鄉,魚池村,51,610,669,16,1902
南投縣,魚池鄉,東池村,39,478,544,19,1525
南投縣,魚池鄉,大林村,34,272,437,9,1050
南投縣,魚池鄉,東光村,36,311,461,16,1223
南投縣,魚池鄉,共和村,12,159,186,4,478
南投縣,魚池鄉,新城村、共和村,17,162,211,6,536
南投縣,魚池鄉,新城村,39,367,502,18,1322
南投縣,魚池鄉,大雁村,25,176,237,1,649
南投縣,魚池鄉,五城村,13,227,258,10,710
南投縣,魚池鄉,中明村,30,314,322,10,995
南投縣,魚池鄉,水社村,30,318,237,3,811
南投縣,魚池鄉,日月村,24,315,287,6,845
南投縣,魚池鄉,頭社村,23,266,320,9,919
南投縣,魚池鄉,武登村,24,179,176,6,558
南投縣,國姓鄉,國姓村,46,537,567,15,1596
南投縣,國姓鄉,石門村,60,588,539,9,1669
南投縣,國姓鄉,大旗村,26,188,261,0,655
南投縣,國姓鄉,長流村,45,463,423,9,1331
南投縣,國姓鄉,長豐村,11,264,203,10,739
南投縣,國姓鄉,長福村,15,249,223,6,694
南投縣,國姓鄉,北港村,46,585,594,18,1825
南投縣,國姓鄉,福龜村,64,645,600,9,1789
南投縣,國姓鄉,乾溝村,15,243,287,14,794
南投縣,國姓鄉,柑林村,51,397,336,10,1108
南投縣,國姓鄉,大石村,25,247,228,6,696
南投縣,國姓鄉,北山村,51,482,512,14,1479
南投縣,國姓鄉,南港村,44,571,443,19,1575
南投縣,水里鄉,水里村,18,239,217,8,726
南投縣,水里鄉,新城村,50,422,527,12,1485
南投縣,水里鄉,中央村,21,214,179,7,596
南投縣,水里鄉,城中村,29,290,255,9,813
南投縣,水里鄉,農富村,15,169,164,2,460
南投縣,水里鄉,車埕村,11,159,137,4,435
南投縣,水里鄉,新興村,15,245,159,8,622
南投縣,水里鄉,北埔村,20,336,320,6,983
南投縣,水里鄉,南光村,57,500,564,10,1507
南投縣,水里鄉,鉅工村,27,321,330,5,934
南投縣,水里鄉,永豐村,43,412,479,9,1320
南投縣,水里鄉,民和村,19,239,299,11,857
南投縣,水里鄉,頂崁村,45,359,369,4,1184
南投縣,水里鄉,新山村,4,58,78,2,197
南投縣,水里鄉,郡坑村,8,131,76,3,303
南投縣,水里鄉,上安村,25,371,335,17,1062
南投縣,水里鄉,興隆村,6,72,96,2,277
南投縣,水里鄉,永興村,8,90,120,1,309
南投縣,水里鄉,玉峰村,20,183,337,8,787
南投縣,信義鄉,明德村,33,584,386,12,1456
南投縣,信義鄉,愛國村,7,181,142,3,487
南投縣,信義鄉,自強村,32,229,230,5,730
南投縣,信義鄉,豐丘村,20,219,162,7,614
南投縣,信義鄉,新鄉村,12,275,116,5,573
南投縣,信義鄉,羅娜村,39,670,189,9,1303
南投縣,信義鄉,望美村,38,569,347,16,1449
南投縣,信義鄉,同富村,38,422,445,17,1369
南投縣,信義鄉,神木村,9,242,141,4,630
南投縣,信義鄉,東埔村,28,406,223,17,985
