南投縣,埔里鎮,愛蘭里,4,10,232,61,508,12,15,13,54,4,1,25,1356
南投縣,埔里鎮,鐵山里,10,7,287,59,532,14,16,21,57,1,4,36,1604
南投縣,埔里鎮,房里里,11,13,248,54,418,0,12,11,42,2,6,29,1250
南投縣,埔里鎮,向善里,15,7,147,31,224,3,5,5,16,1,0,17,677
南投縣,埔里鎮,一新里,5,6,184,25,490,3,1,4,23,0,3,18,1019
南投縣,埔里鎮,合成里,10,18,402,67,445,7,15,7,64,4,3,52,1594
南投縣,埔里鎮,廣成里,13,17,248,67,351,6,15,16,27,0,2,42,1166
南投縣,埔里鎮,史港里,7,12,130,31,238,4,5,6,14,2,5,12,651
南投縣,埔里鎮,福興里,10,15,272,66,254,5,11,8,30,2,2,21,1009
南投縣,埔里鎮,牛眠里,51,24,688,147,748,10,43,24,78,2,4,47,2655
南投縣,仁愛鄉,南豐村,8,7,127,26,464,8,6,7,134,1,0,37,1144
南投縣,仁愛鄉,大同村,11,11,160,59,694,15,6,11,112,0,1,20,1623
南投縣,仁愛鄉,榮興村,0,0,8,1,39,0,0,1,4,0,0,0,89
南投縣,仁愛鄉,春陽村,7,2,41,14,446,6,4,2,63,0,1,31,899
南投縣,仁愛鄉,精英村,4,13,51,17,588,7,11,0,60,0,2,47,1253
南投縣,仁愛鄉,合作村,2,3,27,7,255,2,10,0,13,1,0,18,547
南投縣,仁愛鄉,發祥村,3,1,25,11,317,3,1,4,17,0,0,17,717
南投縣,仁愛鄉,力行村,1,1,19,4,216,0,3,4,14,0,0,12,456
南投縣,仁愛鄉,翠華村,1,2,30,12,126,1,2,1,25,0,0,13,476
南投縣,仁愛鄉,親愛村,2,9,31,12,493,8,10,4,74,2,1,42,1057
南投縣,仁愛鄉,萬豐村,3,9,25,4,256,2,3,1,28,0,0,22,553
南投縣,仁愛鄉,法治村,2,6,16,6,364,1,3,1,9,1,0,25,693
南投縣,仁愛鄉,中正村,2,0,23,4,411,5,9,3,33,0,3,22,782
南投縣,仁愛鄉,互助村,4,7,32,6,523,6,10,4,61,0,0,19,987
南投縣,仁愛鄉,新生村,0,2,11,1,233,0,4,0,19,0,0,2,351
南投縣,中寮鄉,廣興村,19,9,266,41,184,4,1,7,20,0,5,19,854
南投縣,中寮鄉,崁頂村,6,8,104,22,117,1,6,4,14,0,4,22,468
南投縣,中寮鄉,八仙村,10,8,183,29,216,3,8,10,23,2,9,32,774
南投縣,中寮鄉,福盛村,8,7,192,49,207,0,3,3,26,1,4,16,772
南投縣,中寮鄉,和興村,10,6,187,25,182,2,1,2,17,0,2,15,684
南投縣,中寮鄉,永平村,25,14,375,66,622,3,12,10,63,4,6,44,1730
南投縣,中寮鄉,復興村,5,4,86,12,77,1,1,5,7,0,1,4,297
南投縣,中寮鄉,中寮村,8,5,144,24,242,6,8,2,9,2,2,17,699
南投縣,中寮鄉,廣福村,13,7,145,23,129,4,1,1,21,4,5,10,538
南投縣,中寮鄉,永福村,16,11,274,56,396,9,11,3,49,2,5,35,1240
南投縣,中寮鄉,義和村,16,13,301,83,287,3,18,11,34,1,4,33,1083
南投縣,中寮鄉,清水村,7,9,195,37,215,4,16,9,23,4,5,29,875
南投縣,中寮鄉,內城村,5,6,107,13,140,5,7,2,11,0,1,9,469
南投縣,中寮鄉,龍安村,13,8,196,39,157,5,11,4,26,0,1,19,703
南投縣,中寮鄉,爽文村,7,7,122,27,144,5,3,3,20,0,3,11,501
南投縣,中寮鄉,龍岩村,11,9,176,31,195,6,6,4,30,0,0,26,660
南投縣,中寮鄉,永芳村,7,6,109,36,149,3,8,1,12,1,0,10,462
南投縣,中寮鄉,永和村,5,7,123,37,167,3,3,6,22,1,1,8,546
南投縣,魚池鄉,魚池村,17,21,420,132,595,22,32,14,65,4,4,33,1994
南投縣,魚池鄉,東池村,25,6,327,72,410,11,15,11,37,4,3,44,1532
南投縣,魚池鄉,大林村,15,5,322,42,269,8,13,6,32,0,4,22,1106
南投縣,魚池鄉,東光村,32,10,301,58,277,8,11,13,24,2,3,41,1202
南投縣,魚池鄉,共和村,8,2,83,15,78,0,4,1,5,0,0,7,288
南投縣,魚池鄉,共和村、新城村,11,8,121,21,157,4,7,7,17,0,2,23,558
南投縣,魚池鄉,共和村,1,3,55,2,54,1,1,1,8,0,1,5,204
南投縣,魚池鄉,新城村,25,12,304,81,380,8,8,10,36,0,5,26,1341
南投縣,魚池鄉,大雁村,7,8,192,46,153,5,7,5,27,1,3,20,687
南投縣,魚池鄉,五城村,7,11,158,36,224,7,10,4,25,1,2,20,758
南投縣,魚池鄉,中明村,12,5,226,68,272,12,17,6,24,2,4,37,1031
南投縣,魚池鄉,水社村,12,8,133,29,342,1,11,10,27,0,2,17,818
南投縣,魚池鄉,日月村,8,11,185,43,250,7,2,5,37,5,1,15,836
南投縣,魚池鄉,頭社村,11,7,200,39,263,4,8,6,19,2,2,30,943
南投縣,魚池鄉,武登村,12,7,109,17,194,4,5,4,23,0,1,24,679
南投縣,南投市,龍泉里,6,3,239,78,319,7,8,15,46,0,1,9,959
南投縣,南投市,康壽里,6,9,311,110,516,6,11,15,57,0,2,22,1383
南投縣,南投市,三民里,4,0,165,41,327,5,9,16,51,1,4,16,815
南投縣,南投市,仁和里,3,6,141,52,173,1,9,9,24,0,1,5,547
南投縣,南投市,南投里,3,6,138,67,218,6,4,9,30,1,0,6,631
南投縣,南投市,彰仁里,3,3,112,52,120,0,4,4,15,0,1,8,403
南投縣,南投市,崇文里,4,7,213,76,337,3,8,7,67,1,0,27,990
南投縣,南投市,三興里,26,33,959,300,1792,30,62,62,239,6,4,61,4802
南投縣,南投市,三和里,21,18,600,230,1020,11,26,44,139,1,2,25,2763
南投縣,南投市,嘉興里,23,22,591,143,497,4,23,22,76,3,4,44,2006
