新竹縣,關西鎮,新力里,11,193,255,6,16,547
新竹縣,關西鎮,南和里,15,302,316,10,32,831
新竹縣,湖口鄉,和興村,56,766,1062,93,66,2779
新竹縣,湖口鄉,東興村,104,1193,1132,96,76,3739
新竹縣,湖口鄉,德盛村,110,1230,1292,144,110,4269
新竹縣,湖口鄉,愛勢村,97,1292,1307,172,118,3902
新竹縣,湖口鄉,仁勢村,19,254,279,26,27,845
新竹縣,湖口鄉,孝勢村,41,422,465,61,44,1375
新竹縣,湖口鄉,中勢村,71,894,931,85,70,2614
新竹縣,湖口鄉,中正村,80,804,690,76,84,2306
新竹縣,湖口鄉,信勢村,116,1473,1295,151,120,4738
新竹縣,湖口鄉,信義村,86,893,865,70,79,2879
新竹縣,湖口鄉,波羅村,54,586,632,50,48,2023
新竹縣,湖口鄉,長嶺村,84,884,956,77,84,2828
新竹縣,湖口鄉,長安村,33,333,463,27,21,1079
新竹縣,湖口鄉,湖口村,84,866,826,75,75,2657
新竹縣,湖口鄉,湖鏡村,87,774,676,70,60,2323
新竹縣,湖口鄉,湖南村,44,500,406,36,58,1524
新竹縣,湖口鄉,中興村,134,1643,1100,76,89,5315
新竹縣,湖口鄉,鳳凰村,157,1516,1077,87,119,4690
新竹縣,湖口鄉,勝利村,97,1244,821,60,79,3686
新竹縣,湖口鄉,鳳山村,92,1068,778,43,70,3103
新竹縣,新豐鄉,福興村,27,336,394,36,29,1038
新竹縣,新豐鄉,青埔村,41,517,599,29,41,1655
新竹縣,新豐鄉,後湖村,52,425,805,53,76,1739
新竹縣,新豐鄉,瑞興村,57,355,637,49,69,1613
新竹縣,新豐鄉,坡頭村,11,224,452,11,57,842
新竹縣,新豐鄉,埔和村,84,638,1063,92,106,2581
新竹縣,新豐鄉,新豐村,46,556,870,55,95,2058
新竹縣,新豐鄉,員山村,104,800,431,43,55,2099
新竹縣,新豐鄉,忠孝村,103,1156,736,62,116,3250
新竹縣,新豐鄉,山崎村,141,1366,986,64,135,3929
新竹縣,新豐鄉,中崙村,115,963,935,57,102,2945
新竹縣,新豐鄉,上坑村,61,456,472,29,55,1393
新竹縣,新豐鄉,鳳坑村,29,344,416,20,63,1038
新竹縣,新豐鄉,重興村,133,1570,1210,90,149,4631
新竹縣,新豐鄉,崎頂村,76,881,718,43,88,2567
新竹縣,新豐鄉,松林村,160,1507,976,80,153,4224
新竹縣,新豐鄉,松柏村,182,1358,886,47,107,4043
新竹縣,芎林鄉,華龍村,12,164,205,8,14,443
新竹縣,芎林鄉,五龍村,20,194,243,9,20,526
新竹縣,芎林鄉,秀湖村,32,365,325,12,48,940
新竹縣,芎林鄉,永興村,13,172,129,3,16,394
新竹縣,芎林鄉,石潭村,75,878,818,31,78,2556
新竹縣,芎林鄉,新鳳村,55,416,683,19,52,1537
新竹縣,芎林鄉,中坑村,19,174,295,10,12,600
新竹縣,芎林鄉,水坑村,22,196,345,8,27,737
新竹縣,芎林鄉,文林村,92,764,684,33,75,2273
新竹縣,芎林鄉,芎林村,47,559,509,20,44,1492
新竹縣,芎林鄉,上山村,141,1115,1226,45,116,3729
新竹縣,芎林鄉,下山村,44,325,426,18,27,1116
新竹縣,橫山鄉,橫山村,84,1287,1116,33,112,3353
新竹縣,橫山鄉,田寮村,24,271,335,15,35,855
新竹縣,橫山鄉,南昌村,14,68,114,2,7,252
新竹縣,橫山鄉,豐鄉村,9,77,105,2,9,240
新竹縣,橫山鄉,豐田村,7,150,108,6,12,340
新竹縣,橫山鄉,內灣村,16,412,234,7,30,948
新竹縣,橫山鄉,力行村,16,312,325,12,31,842
新竹縣,橫山鄉,福興村,9,186,184,2,20,486
新竹縣,橫山鄉,沙坑村,25,332,430,15,52,1017
新竹縣,橫山鄉,新興村,30,615,461,12,60,1530
新竹縣,橫山鄉,大肚村,45,527,559,24,57,1500
新竹縣,北埔鄉,北埔村,50,349,432,11,36,1105
新竹縣,北埔鄉,南興村,28,465,416,13,37,1237
新竹縣,北埔鄉,大湖村,30,204,213,4,16,563
新竹縣,北埔鄉,埔尾村,80,893,868,32,65,2484
新竹縣,北埔鄉,水村,23,217,337,15,32,789
新竹縣,北埔鄉,南埔村,14,151,132,6,3,391
新竹縣,北埔鄉,大林村,21,266,306,12,16,742
新竹縣,北埔鄉,南坑村,20,133,154,3,12,385
新竹縣,北埔鄉,外坪村,11,95,119,4,12,295
新竹縣,寶山鄉,雙溪村,76,839,437,28,72,2098
新竹縣,寶山鄉,雙新村,82,877,528,24,87,2396
