臺北市,北投區,大同里,4,12,4,0,3,344,801,15,1654
臺北市,北投區,大同里,0,10,3,0,6,406,740,9,1649
臺北市,北投區,溫泉里,1,9,3,4,5,305,565,11,1245
臺北市,北投區,溫泉里,0,8,4,4,5,338,625,8,1482
臺北市,北投區,溫泉里,0,12,3,5,6,405,640,18,1523
臺北市,北投區,溫泉里,1,7,3,0,6,394,650,11,1475
臺北市,北投區,林泉里,0,18,2,4,2,463,323,15,1316
臺北市,北投區,林泉里,1,6,1,0,5,407,613,12,1650
臺北市,北投區,中心里,1,10,3,3,3,384,660,11,1654
臺北市,北投區,中心里,3,6,3,1,4,454,645,10,1681
臺北市,北投區,中心里,3,11,4,3,10,492,848,18,2111
臺北市,北投區,中庸里,2,11,2,1,5,247,491,11,1123
臺北市,北投區,中庸里,1,2,0,1,5,311,585,16,1287
臺北市,北投區,中庸里,2,9,1,3,3,329,656,8,1388
臺北市,北投區,開明里,2,10,1,1,5,475,802,24,1810
臺北市,北投區,開明里,3,14,2,5,6,575,722,21,1846
臺北市,北投區,開明里,1,23,1,3,12,574,742,22,1943
臺北市,北投區,中和里,3,12,0,0,2,372,466,13,1278
臺北市,北投區,中和里,0,8,1,1,6,369,549,11,1360
臺北市,北投區,中和里,2,17,4,3,7,505,683,16,1683
臺北市,北投區,智仁里,2,12,2,0,3,467,633,11,1559
臺北市,北投區,智仁里,3,18,0,1,8,542,795,23,1887
臺北市,北投區,智仁里,4,13,0,1,9,514,675,22,1753
臺北市,北投區,秀山里,1,5,4,0,2,339,445,9,1181
臺北市,北投區,秀山里,3,20,2,2,10,475,691,17,1718
臺北市,北投區,文化里,2,15,2,0,5,469,371,10,1238
臺北市,北投區,文化里,0,10,0,1,5,489,229,13,1072
臺北市,北投區,文化里,0,11,0,1,3,396,450,19,1208
臺北市,北投區,豐年里,1,17,1,1,11,406,592,14,1391
臺北市,北投區,豐年里,3,11,1,4,2,365,587,10,1300
臺北市,北投區,豐年里,0,10,2,0,1,312,527,15,1134
臺北市,北投區,稻香里,0,8,0,0,8,361,548,14,1363
臺北市,北投區,稻香里,0,10,0,2,4,406,543,14,1433
臺北市,北投區,稻香里,3,9,0,0,5,416,603,10,1559
臺北市,北投區,桃源里,0,10,5,3,9,331,608,12,1287
臺北市,北投區,桃源里,2,10,5,2,7,275,603,17,1276
臺北市,北投區,桃源里,1,8,2,0,7,381,538,19,1299
臺北市,北投區,桃源里,1,13,1,3,9,280,587,9,1278
臺北市,北投區,一德里,2,4,3,0,6,285,817,13,1586
臺北市,北投區,一德里,1,6,0,4,2,320,709,9,1501
臺北市,北投區,一德里,0,9,2,2,7,409,680,14,1539
臺北市,北投區,一德里,1,9,3,2,7,331,611,10,1334
臺北市,北投區,關渡里,1,15,3,2,3,402,715,13,1720
臺北市,北投區,關渡里,3,10,1,1,3,364,716,12,1614
臺北市,北投區,關渡里,0,10,2,3,3,419,704,17,1674
臺北市,北投區,關渡里,0,10,1,2,2,405,790,12,1716
臺北市,北投區,關渡里,2,10,1,3,6,374,708,21,1677
臺北市,北投區,關渡里,3,14,2,4,8,307,427,22,1169
臺北市,北投區,泉源里,0,0,0,2,2,96,225,6,509
臺北市,北投區,泉源里,1,19,2,2,7,336,690,25,1603
臺北市,北投區,湖山里,0,6,0,0,4,170,345,5,751
臺北市,北投區,湖山里,1,6,1,0,1,226,342,6,832
臺北市,北投區,大屯里,3,9,0,0,2,173,507,14,1040
臺北市,北投區,湖田里,2,15,5,0,8,258,505,19,977
臺北市,士林區,仁勇里,3,13,1,3,5,394,890,24,1817
臺北市,士林區,仁勇里,2,12,0,1,2,417,695,15,1553
臺北市,士林區,義信里,1,7,2,0,4,341,561,24,1279
臺北市,士林區,義信里,1,11,2,2,6,399,578,9,1411
臺北市,士林區,福林里,0,3,2,2,2,237,209,10,689
臺北市,士林區,福林里,0,1,0,0,1,167,196,5,551
臺北市,士林區,福林里,0,6,1,3,5,387,658,9,1425
臺北市,士林區,福德里,3,4,2,1,2,284,467,14,1073
臺北市,士林區,福德里,0,14,1,0,3,293,385,7,999
臺北市,士林區,福德里,1,6,2,2,2,388,529,13,1332
臺北市,士林區,福德里,0,2,2,1,2,104,192,1,1667
臺北市,士林區,福志里,1,7,2,1,12,506,489,11,1445
臺北市,士林區,福志里,2,10,2,4,3,588,537,20,1599
臺北市,士林區,福志里,3,15,2,3,3,426,700,12,1626
臺北市,士林區,福志里,1,18,4,2,10,459,850,21,1825
臺北市,士林區,舊佳里,0,5,5,4,5,284,563,15,1202
臺北市,士林區,舊佳里,2,15,5,3,3,381,616,18,1437
臺北市,士林區,舊佳里,2,14,4,3,7,333,641,7,1392
臺北市,士林區,舊佳里,1,6,2,2,2,256,495,8,1167
臺北市,士林區,福佳里,3,4,3,0,9,397,636,15,1468
臺北市,士林區,福佳里,4,17,4,2,7,399,786,10,1694
臺北市,士林區,福佳里,1,14,0,3,6,383,672,12,1581
臺北市,士林區,福佳里,5,9,1,2,6,486,831,14,1838
臺北市,士林區,後港里,3,9,3,0,7,275,530,6,1127
臺北市,士林區,後港里,1,11,1,1,5,351,786,20,1637
臺北市,士林區,後港里,0,13,2,1,7,379,705,12,1540
臺北市,士林區,後港里,0,11,2,0,4,307,698,5,1450
