台北市,內湖區,西安里,2,2176,4,6,1600,30,5282
台北市,內湖區,港墘里,4,1912,5,11,1531,27,4680
台北市,內湖區,港都里,3,1664,3,5,1420,29,4176
台北市,內湖區,港富里,6,2872,10,8,2470,40,7425
台北市,內湖區,港華里,5,2798,7,18,2158,39,6793
台北市,內湖區,內湖里,6,1992,6,14,1331,28,4685
台北市,內湖區,湖濱里,5,2869,5,14,1642,37,6370
台北市,內湖區,紫星里,7,2632,4,8,2084,36,6557
台北市,內湖區,大湖里,3,1782,6,10,1094,17,4146
台北市,內湖區,金龍里,6,1836,7,7,1349,35,4532
台北市,內湖區,金瑞里,3,2248,6,14,1635,28,5309
台北市,內湖區,碧山里,5,2246,10,12,1654,28,5540
台北市,內湖區,紫雲里,11,2219,4,6,1065,44,4649
台北市,內湖區,清白里,4,2809,8,6,1600,39,6277
台北市,內湖區,葫洲里,4,2311,1,7,1231,23,5112
台北市,內湖區,紫陽里,4,2523,4,9,1833,27,6196
台北市,內湖區,瑞陽里,10,3194,3,6,1373,34,6397
台北市,內湖區,瑞光里,4,1921,4,5,859,21,3786
台北市,內湖區,五分里,10,2818,10,9,2390,42,7745
台北市,內湖區,東湖里,6,2446,8,14,2022,33,6437
台北市,內湖區,樂康里,3,2536,10,10,2073,37,6596
台北市,內湖區,內溝里,8,1464,7,8,1136,17,3707
台北市,內湖區,週美里,3,1448,10,4,1731,38,4669
台北市,內湖區,行善里,4,1845,5,3,1774,35,5238
台北市,內湖區,石潭里,1,704,6,5,607,13,1930
台北市,內湖區,湖興里,9,2148,3,10,1752,34,6484
台北市,內湖區,湖元里,2,1728,2,13,1416,27,4312
台北市,內湖區,安湖里,3,2465,4,11,1692,29,5784
台北市,內湖區,秀湖里,2,2133,6,7,1267,20,4946
台北市,內湖區,安泰里,4,1713,6,5,1221,33,4112
台北市,內湖區,金湖里,3,2973,2,12,1680,31,6633
台北市,內湖區,康寧里,3,2873,6,14,1723,34,6583
台北市,內湖區,明湖里,0,1544,9,3,1151,34,3761
台北市,內湖區,蘆洲里,1,307,1,2,432,11,976
台北市,內湖區,麗山里,1,1602,9,3,1483,22,4354
台北市,內湖區,寶湖里,3,2110,7,9,1307,30,5040
台北市,內湖區,南湖里,2,1689,7,8,842,18,3603
台北市,南港區,南港里,6,1773,8,10,1603,27,5042
台北市,南港區,中南里,4,1063,8,3,1139,26,3175
台北市,南港區,三重里,1,1222,6,5,1108,29,3251
